98929+A6:U112843125616641|2018-04-25|23:59:28|Eastern Standard Time|PHOTOGPRODIG|my anxiety and my depression fighting over whos day it is  https://twitter.com/crissles/status/988218861697806336 …|0|0|2|,,,,
989291000911642625|2018-04-25|23:52:09|Eastern Standard Time|sp4cecounty|wow she's suddenly cured my depression and gave us world peace  https://twitter.com/bearfaceingtons/status/989289124883566593 …|0|2|9|,,,,
989290997346643968|2018-04-25|23:52:08|Eastern Standard Time|sassi_klassi|I am officially done with @kanyewest. him,,,,
989290972973600770|2018-04-25|23:52:02|Eastern Standard Time|therealazukaobi|Me: what's wrong?My girl: *looks up at me with look of depression and stress on her face**Me: same babe same. #examseason|0|0|2|#examseason,,,,
989290951012044800|2018-04-25|23:51:57|Eastern Standard Time|KateSusabu|@AusBorderForce @PeterDutton_MP @shanebazzi Agreed <Emoji: Clapping hands sign><Emoji: Clapping hands sign><Emoji: Clapping hands sign>As someone with long experience of clinical depression I'd like to add this:Of course she fuckingwell yells and hits her head on the wall and says she wants to dieNobody can live forever without hopeShe won't get better while kept indefinitely on Nauru|0|0|0|,,,,
"989290950563368960|2018-04-25|23:51:57|Eastern Standard Time|hotpotahoe|told my mom how I was feeling and then put it on DND bc I don't have the energy to hear ""just pray"" about depression.|0|0|0|",,,,
989290935598108678|2018-04-25|23:51:53|Eastern Standard Time|glitterfr33ze|being pan,,,,
989290900437204992|2018-04-25|23:51:45|Eastern Standard Time|WxMonika|When you're fine and a bit more productive in school than you're at home. Why does a burnout and occasional depression get you before the end of semester?|0|0|0|,,,,
989290872054333440|2018-04-25|23:51:38|Eastern Standard Time|jagdesh|I think I would know what depression is. And quite rarely do I slump into a paralyzed state where I want to be in a dark room away from anybody else. But every few weeks or so,,,,
989290871269998592|2018-04-25|23:51:38|Eastern Standard Time|Jailbait_bby|@QinniArt This kinda reminds me of when o was suffering from depression and after I got help I decided to chop off my hair.. there's a study on people who suffer a dramatic event often chose to get a dramatic hair change after to recover|1|0|5|,,,,
989290812470120458|2018-04-25|23:51:24|Eastern Standard Time|HEN10_|@LieyaLutionary Not that he's right but a lotta people who deal with depression find it hard to come to terms with it..|2|0|0|,,,,
989290803859283968|2018-04-25|23:51:22|Eastern Standard Time|roseparkchaeng|@Razer Depression|1|0|6|,,,,
989290796015906817|2018-04-25|23:51:20|Eastern Standard Time|offishgreenbean|@ColtonThomas01 I have both! Generalized anxiety disorder and v mild depression|2|0|0|,,,,
989290775145041920|2018-04-25|23:51:15|Eastern Standard Time|JeniferEMasters|How To Heal Anxiety,,,,
989290755574378496|2018-04-25|23:51:10|Eastern Standard Time|arianna5356|@depressingmsgs @depressionnote Block them. They are fake ppl so just cut them out|0|0|1|,,,,
989289692414738434|2018-04-25|23:46:57|Eastern Standard Time|considerjin|chaotic depression: do u even deserve food|0|0|3|,,,,
989289689629720576|2018-04-25|23:46:56|Eastern Standard Time|crystalsages|Depression #PS4share pic.twitter.com/qYYb3oKbti|0|1|10|#PS4share,,,,
989289655295193088|2018-04-25|23:46:48|Eastern Standard Time|gnnlamb_|idk if it's just me but like u know when u get closer to your exams u get that feeling of depression|0|0|4|,,,,
989289653462224896|2018-04-25|23:46:48|Eastern Standard Time|infinitychop|uhhh idk if yall wanna see me rant but like i kinda need to do so sorry in advanced: I swear every time i talk about my mental health irl no one cares? Like ppl just tell  me to get over it and to stop being depressed. I can't control my depression,,,,
989289639478362112|2018-04-25|23:46:44|Eastern Standard Time|ColtonThomas01|@offishgreenbean You don't have a psychological condition or anxiety disorder or depression?|1|0|0|,,,,
989289587339026432|2018-04-25|23:46:32|Eastern Standard Time|HUGE_RUBE_26|It is crazy how much better you feel and how much you can achieve when you get out of depression <Emoji: Person with folded hands>|0|0|1|,,,,
989289563423035392|2018-04-25|23:46:26|Eastern Standard Time|America52448826|@LARRAYXO Hello queen I know you are going to do a Q&A so I wanted to ask. Do you have anxiety depression etc btw lysm queen oh btw can you follow me on instagram my account is queenxxlarray so ya you better check it out ilysm and have a wonderful day baddie|0|0|1|,,,,
989289541881262080|2018-04-25|23:46:21|Eastern Standard Time|Amorettemiller|Kanye West loses 9M followers in a day for liking Trump. I lose 2 followers for not liking #Trump and I spiral into depression <Emoji: Face with tears of joy> Guess its all relative!|0|1|4|#Trump,,,,
